# BJD FLUX E_FLUX MAG E_MAG FLAG
8474.495361 1.004150 0.001649 -0.004496 0.001783 0
8474.516174 1.000044 0.001649 -0.000048 0.001790 0
8474.537048 0.999679 0.001649 0.000348 0.001791 0
8474.557861 0.998158 0.001647 0.002001 0.001791 0
8474.578674 0.996314 0.001645 0.004009 0.001793 0
8474.599548 0.987924 0.001644 0.013191 0.001807 0
8474.620361 0.985412 0.001640 0.015955 0.001807 0
8474.641175 0.847838 0.001571 0.179218 0.002012 1
8474.662049 0.970076 0.001632 0.032986 0.001827 0
8474.682862 0.965169 0.001628 0.038492 0.001831 1
8474.703675 0.957763 0.001626 0.046855 0.001843 1
8474.724549 0.953725 0.001621 0.051442 0.001845 0
8474.745362 0.928563 0.001613 0.080471 0.001886 0
8474.766175 0.762351 0.001524 0.294612 0.002170 0
8474.787049 0.666455 0.001476 0.440573 0.002405 0
8474.807863 0.813010 0.001550 0.224760 0.002070 0
8474.828676 0.945513 0.001620 0.060831 0.001860 0
8474.849550 0.955820 0.001623 0.049060 0.001843 0
8474.870363 0.965291 0.001628 0.038354 0.001832 0
8474.891176 0.966921 0.001630 0.036522 0.001831 0
8474.912050 0.973994 0.001634 0.028610 0.001821 0
8474.932863 0.981653 0.001635 0.020105 0.001809 0
8474.953676 0.982093 0.001636 0.019618 0.001809 0
8474.974551 0.989342 0.001646 0.011634 0.001806 0
8474.995364 0.994651 0.001642 0.005823 0.001792 0
8475.016177 0.993177 0.001642 0.007433 0.001795 1
8475.037051 0.992874 0.001643 0.007765 0.001797 1
8475.057864 0.994950 0.001643 0.005497 0.001793 1
8475.078677 0.993951 0.001642 0.006588 0.001794 1
8475.099551 0.995202 0.001643 0.005222 0.001792 1
8475.120365 0.993767 0.001642 0.006788 0.001794 1
8475.141178 0.995509 0.001642 0.004887 0.001791 1
8475.162052 0.994045 0.001642 0.006485 0.001794 1
8475.182865 0.951153 0.001620 0.054374 0.001849 1
8475.203678 0.841004 0.001563 0.188005 0.002018 1
8475.224552 0.838648 0.001560 0.191051 0.002020 1
8475.245366 0.956087 0.001623 0.048756 0.001843 1
8475.266179 1.014058 0.001650 -0.015157 0.001767 1
8475.287053 1.019238 0.001653 -0.020689 0.001761 1
8475.307866 1.027398 0.001657 -0.029347 0.001751 1
8475.328679 1.033410 0.001660 -0.035682 0.001744 1
8475.349553 1.036031 0.001660 -0.038432 0.001740 1
8475.370367 1.033732 0.001661 -0.036020 0.001744 1
8475.391180 1.038164 0.001663 -0.040665 0.001739 1
8475.412054 1.031984 0.001659 -0.034183 0.001745 1
8475.432867 1.023903 0.001653 -0.025647 0.001753 1
8475.453680 1.013908 0.001648 -0.014996 0.001765 1
8475.474554 1.012568 0.001646 -0.013561 0.001765 1
8475.495368 1.004218 0.001643 -0.004569 0.001776 1
8475.516181 0.991574 0.001636 0.009187 0.001792 1
8475.537055 0.978755 0.001629 0.023315 0.001808 1
8475.557868 0.971596 0.001625 0.031286 0.001816 1
8475.578681 0.963044 0.001622 0.040885 0.001828 1
8475.599555 0.951115 0.001617 0.054418 0.001845 1
8475.620368 0.822466 0.001552 0.212205 0.002049 1
8475.641182 0.672695 0.001467 0.430455 0.002368 1
8475.662056 0.764613 0.001518 0.291396 0.002156 1
8475.682869 0.926561 0.001601 0.082815 0.001876 1
8475.703682 0.950271 0.001614 0.055381 0.001844 1
8475.724556 0.951995 0.001616 0.053413 0.001844 1
8475.745369 0.961399 0.001618 0.042741 0.001828 1
8475.766182 0.965903 0.001620 0.037666 0.001821 1
8475.787057 0.969743 0.001623 0.033358 0.001817 1
8475.807870 0.975630 0.001624 0.026787 0.001808 1
8475.828683 0.978187 0.001625 0.023945 0.001804 1
8475.849557 0.980689 0.001626 0.021172 0.001800 1
8475.870370 0.981101 0.001627 0.020716 0.001801 1
8475.891183 0.990747 0.001632 0.010093 0.001788 1
8475.912057 0.989262 0.001630 0.011722 0.001789 1
8475.932871 0.990255 0.001630 0.010632 0.001787 1
8475.953684 0.987329 0.001629 0.013845 0.001791 1
8475.974558 0.986590 0.001629 0.014658 0.001793 1
8475.995371 0.986069 0.001628 0.015232 0.001792 1
8476.016184 0.979644 0.001626 0.022330 0.001802 1
8476.037058 0.960508 0.001614 0.043748 0.001825 1
8476.057872 0.853269 0.001560 0.172285 0.001985 1
8476.078685 0.815400 0.001540 0.221574 0.002050 1
8476.099559 0.909616 0.001588 0.102854 0.001895 1
8476.120372 0.981281 0.001624 0.020516 0.001797 1
8476.141185 0.984495 0.001626 0.016966 0.001793 1
8476.162059 0.988566 0.001627 0.012486 0.001787 1
8476.182873 0.996461 0.001632 0.003850 0.001778 1
8476.203686 0.992826 0.001632 0.007818 0.001785 1
8476.224560 0.988569 0.001629 0.012483 0.001789 1
8476.245373 0.990138 0.001629 0.010760 0.001787 1
8476.266186 0.984618 0.001626 0.016831 0.001793 1
8476.287061 0.981036 0.001623 0.020788 0.001796 1
8476.307874 0.976333 0.001621 0.026005 0.001802 1
8476.328687 0.970018 0.001621 0.033051 0.001814 1
8476.349561 0.969509 0.001617 0.033620 0.001811 1
8476.370374 0.963100 0.001616 0.040822 0.001822 1
8476.391187 0.954620 0.001611 0.050424 0.001832 1
8476.412001 0.945093 0.001608 0.061314 0.001847 1
8476.432814 0.938892 0.001604 0.068461 0.001854 1
8476.453688 0.933845 0.001600 0.074313 0.001860 1
8476.474501 0.846305 0.001557 0.181182 0.001997 1
8476.495314 0.669892 0.001468 0.434988 0.002379 1
8476.516188 0.709703 0.001490 0.372308 0.002279 1
8476.537002 0.886459 0.001577 0.130853 0.001932 1
8476.557815 0.934118 0.001601 0.073996 0.001860 1
8476.578689 0.940841 0.001605 0.066210 0.001852 1
8476.599502 0.940606 0.001606 0.066480 0.001853 1
8476.620315 0.951991 0.001612 0.053418 0.001839 1
